Timestamp,Machine_ID,Run_ID,Mode,BENEFIT_TO_COST_RATIO,COST,NUM_IGSS,NUM_UC,NUM_D,NUM_ROUNDS,INITIAL_ENDOWMENT,ENDOWMENT_FRACTION,EXECUTION_ERROR_RATE,PERCEPTION_ERROR_RATE,POP_SIZE,MAX_GENS,PARSIMONY_TAX,CXPB,MUTPB,TOURNAMENT_SIZE,HOF_SIZE,INIT_METHOD,TREE_MIN_DEPTH,TREE_MAX_DEPTH,STATIC_DEPTH_LIMIT,SEED,CONFIG_GROUP,REPETITION,Best_Rule_Raw,Best_Rule_SymPy,Identified_Strategy,iGSS_Max_Fitness,iGSS_Avg_Fitness,UC_Fitness,D_Fitness,Control_Baseline,Manual_Validation
2026-05-01_19-19,Local_VSCode,DR1_Config_1_R1,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,42,Config_1,1,"add(10, PartnerInMemory)",PartnerInMemory + 10,Unconditional Cooperator (ALL-C),10.0,8.3,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_1_R2,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,43,Config_1,2,"add(10, 10)",20,Unconditional Cooperator (ALL-C),10.0,9.0,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_1_R3,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,44,Config_1,3,"sub(10, PartnerInMemory)",10 - PartnerInMemory,Unconditional Cooperator (ALL-C),10.0,5.0,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_1_R4,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,45,Config_1,4,"mul(-10, -10)",100,Unconditional Cooperator (ALL-C),10.0,9.0,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_1_R5,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,46,Config_1,5,"sub(PartnerInMemory, -1)",PartnerInMemory + 1,Unconditional Cooperator (ALL-C),10.0,9.3,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_2_R1,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1042,Config_2,1,"add(PartnerInMemory, 1)",PartnerInMemory + 1,Unconditional Cooperator (ALL-C),10.0,10.0,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_2_R2,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1043,Config_2,2,"mul(-1, -10)",10,Unconditional Cooperator (ALL-C),10.0,10.0,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_2_R3,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1044,Config_2,3,"sub(PartnerInMemory, -10)",PartnerInMemory + 10,Unconditional Cooperator (ALL-C),10.0,6.29,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_2_R4,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1045,Config_2,4,"sub(10, PartnerInMemory)",10 - PartnerInMemory,Unconditional Cooperator (ALL-C),10.0,6.0,0.0,0.0,10.0,
2026-05-01_19-19,Local_VSCode,DR1_Config_2_R5,Direct Reciprocity Mode 1,2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1046,Config_2,5,"sub(10, -10)",20,Unconditional Cooperator (ALL-C),10.0,7.0,0.0,0.0,10.0,
