Timestamp,Machine_ID,Run_ID,Mode,BENEFIT_TO_COST_RATIO,COST,NUM_IGSS,NUM_UC,NUM_D,NUM_ROUNDS,INITIAL_ENDOWMENT,ENDOWMENT_FRACTION,EXECUTION_ERROR_RATE,PERCEPTION_ERROR_RATE,POP_SIZE,MAX_GENS,PARSIMONY_TAX,CXPB,MUTPB,TOURNAMENT_SIZE,HOF_SIZE,INIT_METHOD,TREE_MIN_DEPTH,TREE_MAX_DEPTH,STATIC_DEPTH_LIMIT,SEED,CONFIG_GROUP,REPETITION,Best_Act_Raw,Best_Act_SymPy,Identified_Action,Best_Ass_Raw,Best_Ass_SymPy,Identified_Assessment,iGSS_Max_Fitness,iGSS_Avg_Fitness,UC_Fitness,D_Fitness,Control_Baseline
2026-05-04_09-01,Local_VSCode,DR3_Config_1_R1,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,42,Config_1,1,"mul(-1, -10)",10,Unconditional Cooperator (ALL-C),"add(DonorAction, 10)",DonorAction + 10,Paranoid (Remember Everyone),10.0,10.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_1_R2,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,43,Config_1,2,"add(10, PartnerInMemory)",PartnerInMemory + 10,Unconditional Cooperator (ALL-C),"add(DonorAction, DonorAction)",2*DonorAction,"Novel Mem: (True, True, False, False)",10.0,10.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_1_R3,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,44,Config_1,3,"add(10, PartnerInMemory)",PartnerInMemory + 10,Unconditional Cooperator (ALL-C),"add(10, 1)",11,Paranoid (Remember Everyone),10.0,9.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_1_R4,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,45,Config_1,4,"add(0, 1)",1,Unconditional Cooperator (ALL-C),"add(-10, -10)",-20,Amnesia (Remember No One),10.0,10.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_1_R5,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,46,Config_1,5,"mul(-10, -10)",100,Unconditional Cooperator (ALL-C),"add(DonorInMemory, DonorAction)",DonorAction + DonorInMemory,"Novel Mem: (True, True, True, False)",10.0,9.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_2_R1,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1042,Config_2,1,"add(10, 10)",20,Unconditional Cooperator (ALL-C),"add(DonorInMemory, DonorInMemory)",2*DonorInMemory,Sticky Memory (Ignore actions entirely),10.0,9.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_2_R2,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1043,Config_2,2,"mul(10, 10)",100,Unconditional Cooperator (ALL-C),"add(DonorAction, 1)",DonorAction + 1,Paranoid (Remember Everyone),10.0,8.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_2_R3,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1044,Config_2,3,"sub(10, PartnerInMemory)",10 - PartnerInMemory,Unconditional Cooperator (ALL-C),"add(DonorAction, 0)",DonorAction,"Novel Mem: (True, True, False, False)",10.0,8.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_2_R4,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1045,Config_2,4,"sub(PartnerInMemory, -1)",PartnerInMemory + 1,Unconditional Cooperator (ALL-C),"add(0, DonorInMemory)",DonorInMemory,Sticky Memory (Ignore actions entirely),10.0,10.0,0.0,0.0,10.0
2026-05-04_09-01,Local_VSCode,DR3_Config_2_R5,Direct Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1046,Config_2,5,"add(10, PartnerInMemory)",PartnerInMemory + 10,Unconditional Cooperator (ALL-C),"sub(DonorInMemory, DonorInMemory)",0,Amnesia (Remember No One),10.0,9.0,0.0,0.0,10.0
