Timestamp,Machine_ID,Run_ID,Mode,BENEFIT_TO_COST_RATIO,COST,NUM_IGSS,NUM_UC,NUM_D,NUM_ROUNDS,INITIAL_ENDOWMENT,ENDOWMENT_FRACTION,EXECUTION_ERROR_RATE,PERCEPTION_ERROR_RATE,POP_SIZE,MAX_GENS,PARSIMONY_TAX,CXPB,MUTPB,TOURNAMENT_SIZE,HOF_SIZE,INIT_METHOD,TREE_MIN_DEPTH,TREE_MAX_DEPTH,STATIC_DEPTH_LIMIT,SEED,CONFIG_GROUP,REPETITION,Best_Act_Raw,Best_Act_SymPy,Identified_Action,Best_Ass_Raw,Best_Ass_SymPy,Identified_Assessment,iGSS_Max_Fitness,iGSS_Avg_Fitness,UC_Fitness,D_Fitness,Control_Baseline
2026-05-03_00-10,Local_VSCode,IR3_Config_1_R1,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,42,Config_1,1,"mul(-1, -10)",10,Unconditional Cooperator (ALL-C),"add(DonorAction, 10)",DonorAction + 10,Unconditional Good,10.0,10.0,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_1_R2,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,43,Config_1,2,"mul(1, PartnerStanding)",PartnerStanding,Strict Discriminator,"add(DonorAction, DonorAction)",2*DonorAction,Image Scoring,10.0,10.0,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_1_R3,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,44,Config_1,3,"add(PartnerStanding, PartnerStanding)",2*PartnerStanding,Strict Discriminator,"add(DonorAction, DonorAction)",2*DonorAction,Image Scoring,10.0,9.06,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_1_R4,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,45,Config_1,4,"add(10, PartnerStanding)",PartnerStanding + 10,Unconditional Cooperator (ALL-C),"add(10, RecipientStanding)",RecipientStanding + 10,Unconditional Good,10.0,9.05,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_1_R5,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,3,17,46,Config_1,5,"add(0, PartnerStanding)",PartnerStanding,Strict Discriminator,"mul(RecipientStanding, 1)",RecipientStanding,"Novel Ass: (True, False, True, False)",10.0,9.05,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_2_R1,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1042,Config_2,1,"sub(PartnerStanding, 0)",PartnerStanding,Strict Discriminator,"sub(RecipientStanding, -1)",RecipientStanding + 1,Unconditional Good,10.0,9.05,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_2_R2,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1043,Config_2,2,"mul(PartnerStanding, PartnerStanding)",PartnerStanding**2,Strict Discriminator,"sub(DonorAction, -1)",DonorAction + 1,Unconditional Good,10.0,9.0,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_2_R3,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1044,Config_2,3,"sub(10, PartnerStanding)",10 - PartnerStanding,Unconditional Cooperator (ALL-C),"add(DonorAction, 0)",DonorAction,Image Scoring,10.0,8.0,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_2_R4,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1045,Config_2,4,"add(PartnerStanding, 0)",PartnerStanding,Strict Discriminator,"add(DonorAction, DonorAction)",2*DonorAction,Image Scoring,10.0,10.0,0.0,0.0,10.0
2026-05-03_00-10,Local_VSCode,IR3_Config_2_R5,Indirect Reciprocity Mode 3 (Co-Evolution),2,1,10,0,0,10,1,0.5,0.0,0.0,10,100,0.1,0.5,0.2,3,1,genHalfAndHalf,1,10,17,1046,Config_2,5,"mul(1, PartnerStanding)",PartnerStanding,Strict Discriminator,"add(DonorAction, RecipientStanding)",DonorAction + RecipientStanding,"Novel Ass: (True, True, True, False)",10.0,10.0,0.0,0.0,10.0
